Reference,Quantity,Value,Footprint,Manufacturer,MPN,InStorage,Remarks
ANT1,1,ANT-2.45-CHP-T,Linx-ANT-2.45-CHP-T-MFG,Linx,ANT-2.45-CHP-T,7,
C1 C3 C6 C7 C10 C13 C17 C18 C25 C26 C27 C28 C29 C33 C34 C36 C39 C41 C44 C67 C68 C69 C70 C71,24,C_100n_0402,0402-cap,Walsin,0402X104K6R3CT,110,
C12 C24 C45 C49,4,C_8p_0402,0402-cap,TDK,CGA2B2C0G1H080D050BA,20,
C2 C4 C5 C9 C11 C14 C15 C16 C19 C20 C21 C22 C23 C57,14,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,70,
C31 C32 C40 C56,4,C_4u7_0402,0402-cap,MURATA,GRM155R61A475MEAAD,20,
C35 C42,2,C_1u_0402,0402-cap,TDK,C1005X6S1A105K050BC,0,
C37,1,C_100p_0402,0402-cap,WALSIN,0402N101J500CT,10,
C38,1,C_820p_0402,0402-cap,TDK,CGA2B2C0G1H821J050BA ,10,
C43,1,C_47n_0402,0402-cap,MULTICOMP,MC0402X473K160CT,10,
C46 C48,2,C_12p_0402,0402-cap,TDK,ERJ2GE0R00X,10,
C47,1,C_0p8_0402,0402-cap,Murata,GJM1555C1HR80WB01D ,10,
C50,1,C_0p5_0402,0402-cap,Murata,GJM1555C1HR50WB01D,10,
C51,1,RF_Capacitor,0402-cap,-,-,0,
C52,1,C_1p2_0402,0402-cap,Murata,GJM1555C1H1R2WB01D,10,
C53 C54 C55 C59 C62 C65,6,C_10u_0402,0402-cap,MURATA,GRM155R60J106ME44D,30,
C58 C61 C64,3,C_330u_EEF-SX,Panasonic_Electronic_Components-CD-0-0-MFG,PANASONIC,EEF-SX0G331ER,20,
C60 C63 C66,3,C_22u_0805_10V,0805-cap,AVX,0805ZD226MAT2A,15,
C8 C30,2,C_10u_0805,0805-cap,JOHANSON_DIELECTRICS,160R15X106KV4E,0,
D1 D3 D4,3,KP-1608CGCK,LED0603,KINGBRIGHT,KP-1608CGCK,15,
D2,1,APHF1608LSEEQBDZGKC,LED_APHF1608LSEEQBDZGKC,Kingbright,APHF1608LSEEQBDZGKC,10,
FB1,1,BLM21PG600SN,0805-res,Murata Electronics North America,BLM21PG600SN1,10,
J1,1,MM8130-2600RA2,Murata-MM8130-2600RA2-MFG,Murata,MM8130-2600RA2 ,10,
J2,1,2X05,ARM_SWD,Samtec,SHF-105-01-L-D-SM,5,
J3,1,M.2-M+B-Pins,M.2-M+B-Keys,,,0,
L1,1,L_10u_250mA_0603,0603-res,TDK,MLZ1608M100WTD25,10,
L2,1,L_10u_80mA_0603,0603-res,Taiyo Yuden,LBMF1608T100K,25,
L3,1,L_15n_0402,0402-res,Taiyo Yuden,HK100515NJ-T,25,
L4,1,L_4n7_0402,0402-res,MULTICOMP PRO,MCFT000004 ,10,
L5,1,XFL4020-102MEC,Coilcraft-XFL4020-0-0-MFG,Coilcraft,XFL4020-102MEC,5,
L6,1,DFE201610E-1R0M=P2,Murata-DFE201610C-0-0-IPC_B,Murata,DFE201610E-1R0M=P2,5,
MP1,1,PCB_Mount_Hole_M2,M.2-Stud,,,0,
R1,1,R_680R_0402,0402-res,MULTICOMP PRO,MCWR04X6800FTL,10,
R16,1,R_8k2_0402,0402-res,PANASONIC,ERJ2RKF8201X,0,
R17,1,R_4R7_0402,0402-res,PANASONIC,ERJ2GEJ4R7X ,0,
R19 R27 R28,3,R_330R_0402,0402-res,PANASONIC,ERJ2RKF3300X ,20,
R2 R3 R5 R6 R7 R9 R10 R12 R13 R18 R29 R31 R38,13,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,70,
R20 R40 R41,3,R_2k2_0402,0402-res,YAGEO,RC0402FR-072K2L,0,
R21,1,R_390R_0402,0402-res,PANASONIC,ERJ2RKF3900X ,20,
R22,1,R_1k2_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2RKF1201X,10,
R23 R24 R25 R26 R30 R32,6,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,30,
R33,1,R_21k_0402,0402-res,PANASONIC,ERJ2RKF2102X ,10,
R34,1,R_75k_0402,0402-res,MULTICOMP,MCWR04X7502FTL,10,
R35 R36,2,R_100k_0402,0402-res,VISHAY,CRCW0402100KFKEDHP,10,Different manufacturer (TE CONNECTIVITY)
R4,1,R_1k6_0402,0402-res,MULTICOMP PRO,MCWR04X1601FTL ,10,
SW1 SW2,2,PTS840_GK_SMTR_LFS,CK-PTS840_GK_SMTR_LFS-0,CK,PTS840 GK SMTR LFS,10,
U1,1,UPD720202,QFN48-Renesas-UPD720202,Renesas,UPD720202K8-701-BAA-A,10,
U2,1,SST25VF512A,SOIC8-SST25VF512A-33-4I-SAE-Level_B,Microchip,SST25VF512A-33-4I-SAE,5,
U3,1,CoralAccelerator,MODULE_G313-06329-00,Coral,G313-06329-00,9,
U4 U4,2,NRF52840,Nordic_Semiconductor-NRF52840-QIAA-R-0-0-MFG,Nordic Semiconductor,NRF52840-QIAA-R,10,
U5,1,TPS61232DRCR,VSON-10-1EP_3x3mm,Texas Instruments,TPS61232DRCR,0,
U6,1,NCP380HMUAJAATBG,ON_Semiconductor-517AB-04_2013-C-IPC_B,ON Semiconductor,NCP380HMUAJAATBG,0,
U7,1,TLV62568PDRLT,SOT-563,Texas Instruments,TLV62568PDRLT,25,
U8,1,BME280,Pressure_Sensor_LGA-8_2.5x2.5mm_BME280,Bosch Sensortec,BME280,0,
Y1,1,NX3225SA-24M,NDK-NX3225SA-0-0-MFG,NDK,NX3225SA-24.000M-STD-CSR-3 ,0,
Y2,1,ABM11W-101-32.0000MHZ-T3,Abracon-ABM11W-0-0-0,ABRACON,ABM11W-101-32.0000MHZ-T3,10,
Y3,1,ABS06-32.768KHZ-9-1-T,Abracon-ABS06-32.768KHZ-T-0,ABRACON,ABS06-32.768KHZ-9-1-T,5,
